window_id,start_index,end_index,best_match,dtw_distance,label,similarity_score
U_562,22440,22639,Agg_50,321.94422955623935,Aggressive,0.5912472189606033
U_563,22480,22679,Agg_104,351.81638170267775,Aggressive,0.5631087985158932
U_564,22520,22719,Agg_1,329.8128899304612,Aggressive,0.5837016279923801
U_565,22560,22759,Agg_169,329.02587194659037,Aggressive,0.5844519782230431
U_566,22600,22799,Agg_116,326.953710781878,Aggressive,0.5864322122912021
U_567,22640,22839,Agg_170,311.0061849105162,Aggressive,0.6018984818804787
U_568,22680,22879,Agg_51,332.7209607482081,Aggressive,0.5809373929424232
U_569,22720,22919,Agg_52,324.383263025629,Aggressive,0.5888979535189369
U_570,22760,22959,Agg_3,340.08113713790164,Aggressive,0.5739996091114524
U_571,22800,22999,Agg_67,339.48701812185004,Aggressive,0.5745565448941874
U_572,22840,23039,Agg_33,335.3505786685108,Aggressive,0.5784491103923146
U_573,22880,23079,Agg_69,345.86159692909524,Aggressive,0.5686090212107818
U_574,22920,23119,Agg_70,339.8388495644769,Aggressive,0.5742266677794396
U_575,22960,23159,Agg_71,337.3965079319131,Aggressive,0.5765205189090647
U_576,23000,23199,Agg_107,337.1996723963054,Aggressive,0.5767057856714793
U_577,23040,23239,Agg_114,338.57710212065564,Aggressive,0.5754105610962134
U_578,23080,23279,Agg_117,348.5850498424704,Aggressive,0.5660868295105242
U_579,23120,23319,Agg_168,372.15246104979775,Aggressive,0.5447230770376047
U_580,23160,23359,Agg_169,310.7801574005298,Aggressive,0.6021205949600136
U_581,23200,23399,Agg_170,294.3847417709943,Aggressive,0.6184526115277639
U_582,23240,23439,Agg_50,317.6015328124243,Aggressive,0.5954533063211991
U_583,23280,23479,Agg_51,329.82118227077007,Aggressive,0.5836937271290853
U_584,23320,23519,Agg_52,335.2969559366969,Aggressive,0.5784997444305636
U_585,23360,23559,Agg_68,337.54522541302697,Aggressive,0.5763805815922808
U_586,23400,23599,Agg_69,316.9323513961551,Aggressive,0.5961040924175354
U_587,23440,23639,Agg_70,319.2820116977711,Aggressive,0.59382215326239
U_588,23480,23679,Agg_71,333.0047973068986,Aggressive,0.5806682973865434
U_589,23520,23719,Agg_6,359.4550251637389,Aggressive,0.556131082995882
U_590,23560,23759,Agg_104,340.1450975241809,Aggressive,0.5739396839146588
U_591,23600,23799,Agg_171,351.83287751575267,Aggressive,0.5630936360562412
U_592,23640,23839,Agg_170,390.68566636862784,Aggressive,0.528490663052741
U_593,23680,23879,Agg_3,366.94374700390944,Aggressive,0.5493742589946145
U_594,23720,23919,Agg_67,348.32595747744426,Aggressive,0.5663262928153187
U_595,23760,23959,Agg_68,341.961946433097,Aggressive,0.5722400683640635
U_596,23800,23999,Agg_70,345.50013925491993,Aggressive,0.5689446110386457
U_597,23840,24039,Agg_71,371.30577388842505,Aggressive,0.5454764471087453
U_598,23880,24079,Agg_108,354.065422358977,Aggressive,0.5610453096011221
U_599,23920,24119,Agg_114,343.74740408641406,Aggressive,0.57057472201628
U_600,23960,24159,Agg_115,331.87856323842817,Aggressive,0.5817367751897045
U_601,24000,24199,Agg_116,313.53569989002557,Aggressive,0.5994183562949332
U_602,24040,24239,Agg_117,339.1454174839227,Aggressive,0.574877010926195
U_603,24080,24279,Agg_168,321.74602722902586,Aggressive,0.5914385377314183
U_604,24120,24319,Agg_171,313.69427675117333,Aggressive,0.5992632165355523
U_605,24160,24359,Agg_172,329.8732140767378,Aggressive,0.5836441541579974
U_606,24200,24399,Agg_32,367.89234702672985,Aggressive,0.5485242476773603
U_607,24240,24439,Agg_10,382.07438406173264,Aggressive,0.5359718501763164
U_608,24280,24479,Agg_11,362.9719877518386,Aggressive,0.5529475572479808
U_609,24320,24519,Agg_12,389.3674838415136,Aggressive,0.52962904934603
U_610,24360,24559,Agg_33,373.78291464136123,Aggressive,0.5432752526633321
U_611,24400,24599,Agg_48,358.57784290285304,Aggressive,0.5569279529196277
U_612,24440,24639,Agg_49,391.7463518371266,Aggressive,0.5275764287969946
U_613,24480,24679,Agg_52,389.1070718438269,Aggressive,0.5298542318064935
U_614,24520,24719,Agg_67,341.6379976282286,Aggressive,0.5725427450306455
U_615,24560,24759,Agg_67,333.64373576492574,Aggressive,0.5800629981116683
U_616,24600,24799,Agg_69,326.2868386817596,Aggressive,0.5870709259894784
U_617,24640,24839,Agg_70,319.6791689680477,Aggressive,0.5934373067012273
U_618,24680,24879,Agg_70,348.99046218300197,Aggressive,0.5657123347146186
U_619,24720,24919,Agg_71,351.94912698381916,Aggressive,0.5629867945864284
U_620,24760,24959,Agg_50,326.76730185992847,Aggressive,0.5866106801666271
U_621,24800,24999,Agg_106,330.8786662348581,Aggressive,0.5826870423483907
U_622,24840,25039,Agg_107,337.7839336371893,Aggressive,0.5761560375280504
U_623,24880,25079,Agg_106,352.0212762938892,Aggressive,0.5629204944713181
U_624,24920,25119,Agg_168,325.9170817488049,Aggressive,0.5874253698300567
U_625,24960,25159,Agg_168,316.43294977734877,Aggressive,0.5965902292680535
U_626,25000,25199,Agg_170,338.488407146117,Aggressive,0.5754938750502541
U_627,25040,25239,Agg_2,368.9093596551931,Aggressive,0.5476143947348822
U_628,25080,25279,Agg_3,353.4321541379142,Aggressive,0.5616255655234798
U_629,25120,25319,Agg_33,317.395376548309,Aggressive,0.5956537197358137
U_630,25160,25359,Agg_148,321.4626200097225,Aggressive,0.591712209786438
U_631,25200,25399,Agg_48,321.64109191769575,Aggressive,0.5915398537081931
U_632,25240,25439,Agg_49,330.0524235281916,Aggressive,0.5834734457173462
U_633,25280,25479,Agg_168,314.64651438300956,Aggressive,0.5983324624673094
U_634,25320,25519,Agg_172,319.87874501088197,Aggressive,0.5932440110967536
U_635,25360,25559,Agg_51,361.15588681930086,Aggressive,0.5545891948065695
U_636,25400,25599,Agg_67,347.6163516390706,Aggressive,0.5669826570671553
