time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1781099280092263200,43.53226318359375,-3.0493260026965268,-0.9872808627795776,-0.11055532547413406,-2.9088367009204106,0.10926329231033156,-0.033402011696913446,-0.20989946704539766
1781099280117339400,43.55733935546875,-3.0449764534708454,-0.9873904601174716,-0.1088478054752952,-2.911838580295378,0.10924754851957516,-0.0357377551539759,-0.2094889213840988
1781099280142414300,43.58241430664062,-3.0387104522224457,-0.9871536318827671,-0.10918289377186503,-2.9104103356014113,0.11004099452190234,-0.03870108561255442,-0.21035157866424192
1781099280167490300,43.607490234375,-3.0316272145441734,-0.9867915673060415,-0.1105696187716732,-2.9067816186194797,0.11070297761136726,-0.04197181443524463,-0.2107566984001013
1781099280192566300,43.63256616210938,-3.0254011659672377,-0.9867232341293753,-0.11015233634810519,-2.9070071254634486,0.11048794304251648,-0.045124721030224836,-0.20963290350295627
1781099280217641500,43.65764135742187,-3.0198605279197532,-0.9869235724583584,-0.10795030350890467,-2.911017588700247,0.10956013053759722,-0.048219074331786634,-0.2073265318046886
1781099280242717200,43.68271728515625,-3.0135177416682235,-0.9870858192648249,-0.10588180035705681,-2.914702154835981,0.10852302751393902,-0.051706086821084914,-0.2047206138877356
1781099280267793400,43.70779345703125,-3.0067121618452117,-0.9869274747079587,-0.10541704028804057,-2.914914922305877,0.10874885624216768,-0.055091664247637444,-0.20446084810456497
1781099280292868400,43.732868408203124,-3.0008321981151385,-0.9867196589214416,-0.10485443155014816,-2.9152980212853548,0.10969651325333485,-0.05793529712960686,-0.20577908215514326
1781099280317944300,43.7579443359375,-2.996454376123587,-0.9865781563193295,-0.10476965738585826,-2.9149895301429067,0.10989449164730741,-0.060082957726382356,-0.20569674688229597
1781099280343019300,43.783019287109376,-2.9939274782509795,-0.9866751252284108,-0.10367038516672326,-2.917057416543915,0.1092665931755773,-0.06152707217224461,-0.20428204775560574
1781099280368095500,43.808095458984376,-2.9906861460418916,-0.9868281636691927,-0.10246803473289104,-2.9193886602813333,0.10792548097138698,-0.06342489716958186,-0.2013678813116608
1781099280393171200,43.833171142578124,-2.9881408857175322,-0.9868955797840104,-0.10142019323042206,-2.921330699869667,0.10745014515879399,-0.06484986936594946,-0.20026595160418134
1781099280418246100,43.85824609375,-2.9847507309065597,-0.9869331387393904,-0.09964625154501676,-2.9245328892902007,0.10764458539695702,-0.06667973701640995,-0.20052847669388218
1781099280443322400,43.883322265625,-2.979771627318171,-0.9867763123357053,-0.09960350100568288,-2.924140393114714,0.10755982014079495,-0.06915601274608636,-0.19982580325900265
