time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781099283999791600,47.43979150390625,2.5673650465905666,0.9021471061092101,7.44718852656006,23.065111992874307,57.72858941182494,20.982318613946905,14.2459551854923,12.582745291948282,72.65495459210022,9.816144096856062
1781099284999787300,48.43978735351563,2.6662818593904376,0.950039227166286,7.430719327703458,23.065204442141102,57.82750622462481,14.521512985229492,14.245955602416256,11.782738300115511,72.6549857486089,10.359723434583126
1781099285999783000,49.439782958984374,2.8112396830692887,0.9007855910778861,7.258937531057831,23.065306221971014,57.972464048303664,14.521512985229492,14.245955417713912,12.605669365865396,72.65501306051151,11.027404468627513
1781099286999779600,50.439779541015625,2.5090589746832848,0.9018920426696014,7.2585945470140745,23.065412463508018,57.67028333991766,13.946305365081471,14.245955386319345,12.713411967984616,72.65503667415044,11.490078791250564
1781099287999775000,51.43977490234375,1.8069927114993334,0.902397700992041,7.253868534807271,23.065496044012797,56.96821707673371,18.740743748498794,14.24595520046139,13.025059346287184,72.65507468102832,10.573072467941648
1781099288999770600,52.4397705078125,1.9863627515733242,0.905418798442985,7.715390870865021,23.065559072302307,57.1475871168077,29.3762399582926,14.245954926017204,12.569845424370312,72.65513061273826,9.507212576173318
1781099289999766800,53.439766845703126,2.956838714890182,0.9028287311054151,7.802730789111619,23.06561265699781,58.11806308012456,41.43772501724803,14.24595485644743,11.745784884758102,72.65520462847836,9.371248791891702
1781099290999763500,54.43976342773438,2.507112255319953,0.9043947468304725,7.258972103187287,23.065637848303762,57.66833662055433,53.66141128540039,14.245954810762006,12.677691452343058,72.65531795122153,10.117372324653905
1781099291999759000,55.439759033203124,2.738861690275371,0.908497557242394,7.258829740106457,23.06570048638085,57.900086055509746,52.45155715942383,14.245954973879215,12.472471650816233,72.65540881806989,10.864029553709075
1781099292999755000,56.43975512695312,2.926565040834248,0.9081331564023325,7.25862996806842,23.06577802811777,58.08778940606862,52.45155715942383,14.24595524019638,12.173948362049517,72.65549299819544,11.547231506186979
1781099293999751200,57.43975122070312,2.8972961409017444,0.9085197088762962,7.258959692468183,23.065851362440533,58.05852050613612,49.54766845703125,14.24595516359028,12.464265511658066,72.65558999029919,12.205016904443514
1781099294999746800,58.43974682617188,2.795988008379936,0.9417763891982517,7.258933095118926,23.0659285068779,57.95721237361431,44.6226692199707,14.245954506963939,11.825456117077875,72.65568345941786,12.495013451063347
1781099295999744000,59.43974389648437,2.4552383152768016,0.9663781601693774,7.258021533221485,23.065999961298015,57.61646268051118,44.6226692199707,14.245953744576054,11.174730168118097,72.65575943178884,11.686189329789759
1781099296999739600,60.43973974609375,2.248128455132246,0.9364450012960208,7.257533901615374,23.06606749553882,57.40935282036662,39.42632293701172,14.24595408422564,12.037952834367882,72.65582312081801,10.721116622888921
1781099297999735800,61.43973583984375,1.8683175118640065,0.945191473278602,7.878869665606918,23.0661270367501,57.02954187709838,39.42632293701172,14.245954083406126,11.859123354960936,72.6558803496236,9.71446713506371
1781099298999735300,62.4397353515625,2.6378360027447343,0.9692186019484544,8.777539240919014,23.066184564703157,57.79906036797911,39.42632293701172,14.24595392808646,11.383498376195703,72.65593099880704,8.947976461279305
1781099299999727600,63.4397275390625,2.632585797458887,0.965950237875079,8.79707116094115,23.066240869123178,57.79381016269326,48.363155364990234,14.24595388779304,11.220518584886062,72.65599091786102,8.897549533867494
1781099300999724000,64.43972412109375,3.5390046210959554,0.9134667192955765,7.901799081977654,23.06628320569505,58.70022898633033,53.19108963012695,14.245954408496388,11.960191233676113,72.65607758187738,9.359834026504473
1781099301999719700,65.4397197265625,3.7582838153466582,0.9004311677254552,7.59068030450288,23.06633797566491,58.91950818058103,53.19108963012695,14.245954522358378,12.737904456411007,72.65615667783224,9.604979035612466
1781099302999715600,66.43971557617188,3.487046896480024,0.9080766426461878,7.971407630998935,23.066365578156834,58.6482712617144,63.404605865478516,14.24595470476796,12.70959093559686,72.65623572115545,9.229815824906979
1781099303999711500,67.43971142578125,3.123728488571942,0.903976172646044,7.7711582124695004,23.066406090536393,58.28495285380632,61.546485900878906,14.24595476267664,12.693089994505394,72.65632174334625,9.425405807531774
1781099304999707600,68.43970776367188,3.6976667027920485,0.906079310586911,7.25759206426925,23.066452670880818,58.85889106802642,61.546485900878906,14.245954858983161,12.578979730585466,72.65641463760888,10.191433826599141
1781099305999703800,69.43970385742188,3.574816510081291,0.9054820808024846,7.258697374581961,23.06650410516443,58.736040875315666,61.546485900878906,14.24595505375992,12.68895336094379,72.65651721198249,11.065986932220094
1781099306999700000,70.43969995117187,3.619863477535546,0.9042629443080549,7.258700111462417,23.066562925368594,58.78108784276992,59.56090545654297,14.245955008737818,12.762015759764697,72.65662509179286,11.938531928827384
1781099307999696100,71.43969604492187,4.144637428224087,0.9081884859134658,7.25652052935404,23.066628268988474,59.30586179345846,55.85614013671875,14.245955126245567,12.439880257252584,72.65673394643264,12.59101747312805
1781099308999692000,72.43969213867187,4.0666112042963505,0.9344290924615399,7.258025138006315,23.066700646810343,59.227835569530725,53.059329986572266,14.245954688049578,12.449425143759125,72.65684191529847,13.065766084407949
1781099309999688700,73.43968872070313,5.794080354273319,0.9403757399681105,7.242134873273714,23.06678714241091,60.955304719507694,44.44877624511719,14.24595539106596,10.806344625356575,72.65692180099776,12.613423566477936
1781099310999684900,74.43968481445313,5.171332675032318,0.9183671286583034,7.254070981257849,23.066859833995267,60.33255704026669,44.44877624511719,14.245955401039538,12.552457296375879,72.65701133237543,12.099107166323844
1781099311999681000,75.43968090820313,4.21796942781657,0.9099585982201288,7.2587319093718525,23.06692850259005,59.379193793050945,44.44877624511719,14.245955198587009,12.80791528642043,72.65708412897035,11.263500809996161
1781099312999676200,76.43967626953125,3.9269268633797765,0.9103197282185936,7.257881895185596,23.066988797539366,59.08815122861415,44.44877624511719,14.245955053509164,12.908045186934988,72.65714804853573,10.231460634303433
1781099313999672800,77.4396728515625,3.5202662320807576,0.9028957677001713,7.621923221269491,23.067047779273643,58.68149059731513,43.5590934753418,14.245955200361308,12.857025268351816,72.65720896132967,9.595518233839115
1781099314999668500,78.43966845703125,3.6766851991415024,0.9101873378066464,8.008282741459778,23.067105447469697,58.83790956437588,43.5590934753418,14.245955197785783,13.004425403027447,72.65726822563745,9.209647040902182
1781099315999664600,79.43966455078125,3.49795594625175,0.9089058651369692,8.160618575416082,23.067163994632157,58.659180311486125,43.5590934753418,14.245955148179775,13.030336643415989,72.65732839323832,9.02456999578464
1781099316999661000,80.4396611328125,3.715084238909185,0.906078739354954,8.37730248643531,23.067219600458266,58.87630860414356,43.5590934753418,14.245955143800545,13.129595471798925,72.65738553809506,8.763407203268962
1781099317999656400,81.43965649414062,3.5904099782928824,0.9057970023338902,8.803924098144586,23.067276029808554,58.75163434352726,39.13520812988281,14.245955037338396,13.1916734901469,72.65743922729307,8.336526035465248
1781099318999652900,82.43965283203126,3.544980926439166,0.907250530880907,9.328329297244855,23.067328411673063,58.70620529167354,39.13520812988281,14.245954947091976,13.07685730964403,72.65748529053351,7.880647065942034
1781099319999649500,83.4396494140625,2.9927001278847456,0.9066047991666333,9.808538203489697,23.067378149760234,58.15392449311912,39.13520812988281,14.245954956980212,13.200262225850496,72.65752902890578,7.48455752762548
1781099320999644700,84.43964477539062,2.9644662272185087,0.9071999800957631,10.39087522253807,23.06742541957416,58.125690592452884,39.13520812988281,14.245954867172538,13.208965819718214,72.65757059674348,7.071227875145369
1781099321999640800,85.43964086914062,3.2962565012276173,0.9066043267734001,10.989491454760799,23.067469521753697,58.45748086646199,39.13520812988281,14.245954836209624,13.067383262038389,72.65760937904747,6.6846018750951455
1781099322999636700,86.43963671875,3.4745328994467854,0.9062180717520338,11.030276837251211,23.06751501071198,58.63575726468116,39.13520812988281,14.245954834027568,13.02058476741978,72.6576493808489,6.656087564371934
